threshold,trades_exceeding,trades_exceeding_pct,notional_exceeding,notional_exceeding_pct
20,3239,0.17261124738938144,4000868,4.597541485562353
50,480,0.02557993169092408,1535901,1.7649591451696742
100,18,0.000959247438409653,310015,0.35624939979189835
200,1,5.329152435609184e-05,20000,0.02298272017753324
500,0,0.0,0,0.0
1000,0,0.0,0,0.0
1001,0,0.0,0,0.0
